index,char,unicode,row,col,LIndex,VIndex,TIndex,choseong,jungseong,jongseong,has_final,vowel_group,L_component,V_component,T_component
1,가,U+AC00,0,0,0,0,0,ㄱ,ㅏ,,False,vertical,,,
2,값,U+AC12,0,1,0,0,18,ㄱ,ㅏ,ㅄ,True,vertical,,,
3,갗,U+AC17,0,2,0,0,23,ㄱ,ㅏ,ㅊ,True,vertical,,,
4,갚,U+AC1A,0,3,0,0,26,ㄱ,ㅏ,ㅍ,True,vertical,,,
5,갡,U+AC21,0,4,0,1,5,ㄱ,ㅐ,ㄵ,True,vertical,,,
6,갸,U+AC38,0,5,0,2,0,ㄱ,ㅑ,,False,vertical,,,
7,걔,U+AC54,0,6,0,3,0,ㄱ,ㅒ,,False,vertical,,,
8,겝,U+AC9D,0,7,0,5,17,ㄱ,ㅔ,ㅂ,True,vertical,,,
9,겨,U+ACA8,0,8,0,6,0,ㄱ,ㅕ,,False,vertical,,,
10,겪,U+ACAA,0,9,0,6,2,ㄱ,ㅕ,ㄲ,True,vertical,,,
11,고,U+ACE0,0,10,0,8,0,ㄱ,ㅗ,,False,horizontal,,,
12,과,U+ACFC,0,11,0,9,0,ㄱ,ㅘ,,False,mixed,,,
13,괌,U+AD0C,1,0,0,9,16,ㄱ,ㅘ,ㅁ,True,mixed,,,
14,괘,U+AD18,1,1,0,10,0,ㄱ,ㅙ,,False,mixed,,,
15,괯,U+AD2F,1,2,0,10,23,ㄱ,ㅙ,ㅊ,True,mixed,,,
16,굉,U+AD49,1,3,0,11,21,ㄱ,ㅚ,ㅇ,True,mixed,,,
17,교,U+AD50,1,4,0,12,0,ㄱ,ㅛ,,False,horizontal,,,
18,굢,U+AD62,1,5,0,12,18,ㄱ,ㅛ,ㅄ,True,horizontal,,,
19,궂,U+AD82,1,6,0,13,22,ㄱ,ㅜ,ㅈ,True,horizontal,,,
20,귀,U+ADC0,1,7,0,16,0,ㄱ,ㅟ,,False,mixed,,,
21,귓,U+ADD3,1,8,0,16,19,ㄱ,ㅟ,ㅅ,True,mixed,,,
