order,font_id,display_name,font_path
1,001_font,가람연꽃,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\가람연꽃\나눔손글씨 가람연꽃.ttf
2,002_font,갈맷글,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\갈맷글\나눔손글씨 갈맷글.ttf
3,003_font,갈혜준체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\갈혜준체\나눔손글씨 혜준체.ttf
4,004_font,강부장님체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\강부장님체\나눔손글씨 강부장님체.ttf
5,005_font,강인한_위로,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\강인한_위로\나눔손글씨 강인한 위로.ttf
6,006_font,고딕_아니고_고딩,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\고딕_아니고_고딩\나눔손글씨 고딕 아니고 고딩.ttf
7,007_font,고려글꼴,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\고려글꼴\나눔손글씨 고려글꼴.ttf
8,008_font,곰신체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\곰신체\나눔손글씨 곰신체.ttf
9,009_font,규리의_일기,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\규리의_일기\나눔손글씨 규리의 일기.ttf
10,010_font,금은보화,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\금은보화\나눔손글씨 금은보화.ttf
11,011_font,기쁨밝음,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\기쁨밝음\나눔손글씨 기쁨밝음.ttf
12,012_font,김유이체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\김유이체\나눔손글씨 김유이체.ttf
13,013_font,꽃내음,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\꽃내음\나눔손글씨 꽃내음.ttf
14,014_font,끄트머리체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\끄트머리체\나눔손글씨 끄트머리체.ttf
15,015_font,나는_이겨낸다,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\나는_이겨낸다\나눔손글씨 나는 이겨낸다.ttf
16,016_font,나무정원,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\나무정원\나눔손글씨 나무정원.ttf
17,017_font,나의_아내_손글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\나의_아내_손글씨\나눔손글씨 나의 아내 손글씨.ttf
