index,char,unicode,glyph_id,glyph_path,warning
1,가,U+AC00,001_UAC00,datasets\clova_214\glyphs\082_font\001_UAC00.png,
2,값,U+AC12,002_UAC12,datasets\clova_214\glyphs\082_font\002_UAC12.png,
3,갗,U+AC17,003_UAC17,datasets\clova_214\glyphs\082_font\003_UAC17.png,
4,갚,U+AC1A,004_UAC1A,datasets\clova_214\glyphs\082_font\004_UAC1A.png,
5,갡,U+AC21,005_UAC21,datasets\clova_214\glyphs\082_font\005_UAC21.png,
6,갸,U+AC38,006_UAC38,datasets\clova_214\glyphs\082_font\006_UAC38.png,
7,걔,U+AC54,007_UAC54,datasets\clova_214\glyphs\082_font\007_UAC54.png,
8,겝,U+AC9D,008_UAC9D,datasets\clova_214\glyphs\082_font\008_UAC9D.png,
9,겨,U+ACA8,009_UACA8,datasets\clova_214\glyphs\082_font\009_UACA8.png,
10,겪,U+ACAA,010_UACAA,datasets\clova_214\glyphs\082_font\010_UACAA.png,
11,고,U+ACE0,011_UACE0,datasets\clova_214\glyphs\082_font\011_UACE0.png,
12,과,U+ACFC,012_UACFC,datasets\clova_214\glyphs\082_font\012_UACFC.png,
13,괌,U+AD0C,013_UAD0C,datasets\clova_214\glyphs\082_font\013_UAD0C.png,
14,괘,U+AD18,014_UAD18,datasets\clova_214\glyphs\082_font\014_UAD18.png,
15,괯,U+AD2F,015_UAD2F,datasets\clova_214\glyphs\082_font\015_UAD2F.png,
16,굉,U+AD49,016_UAD49,datasets\clova_214\glyphs\082_font\016_UAD49.png,
17,교,U+AD50,017_UAD50,datasets\clova_214\glyphs\082_font\017_UAD50.png,
18,굢,U+AD62,018_UAD62,datasets\clova_214\glyphs\082_font\018_UAD62.png,
19,궂,U+AD82,019_UAD82,datasets\clova_214\glyphs\082_font\019_UAD82.png,
20,귀,U+ADC0,020_UADC0,datasets\clova_214\glyphs\082_font\020_UADC0.png,
21,귓,U+ADD3,021_UADD3,datasets\clova_214\glyphs\082_font\021_UADD3.png,
22,규,U+ADDC,022_UADDC,datasets\clova_214\glyphs\082_font\022_UADDC.png,
23,귧,U+ADE7,023_UADE7,datasets\clova_214\glyphs\082_font\023_UADE7.png,
24,급,U+AE09,024_UAE09,datasets\clova_214\glyphs\082_font\024_UAE09.png,
25,긔,U+AE14,025_UAE14,datasets\clova_214\glyphs\082_font\025_UAE14.png,
26,긠,U+AE20,026_UAE20,datasets\clova_214\glyphs\082_font\026_UAE20.png,
27,깊,U+AE4A,027_UAE4A,datasets\clova_214\glyphs\082_font\027_UAE4A.png,
28,깍,U+AE4D,028_UAE4D,datasets\clova_214\glyphs\082_font\028_UAE4D.png,
29,깨,U+AE68,029_UAE68,datasets\clova_214\glyphs\082_font\029_UAE68.png,
30,꺒,U+AE92,030_UAE92,datasets\clova_214\glyphs\082_font\030_UAE92.png,
31,꾀,U+AF80,031_UAF80,datasets\clova_214\glyphs\082_font\031_UAF80.png,
32,꾜,U+AF9C,032_UAF9C,datasets\clova_214\glyphs\082_font\032_UAF9C.png,
